Orig Old Line,Old Config,Orig New Line,New Config,Change Made
156,"annotate system ""annotation""",,,Removed
35,set chassis aggregated-devices ethernet device-count 10,37,set chassis aggregated-devices ethernet device-count 10,None
36,set chassis alarm management-ethernet link-down ignore,46,set chassis alarm management-ethernet link-down ignore,None
,,40,set chassis fpc 0 pic 0 port 12 speed 1G,Added
,,41,set chassis fpc 0 pic 0 port 16 speed 1G,Added
,,42,set chassis fpc 0 pic 0 port 20 speed 1G,Added
,,43,set chassis fpc 0 pic 0 port 24 speed 1G,Added
,,44,set chassis fpc 0 pic 0 port 36 speed 1G,Added
,,38,set chassis fpc 0 pic 0 port 4 speed 1G,Added
,,45,set chassis fpc 0 pic 0 port 44 speed 1G,Added
,,39,set chassis fpc 0 pic 0 port 8 speed 1G,Added
34,set chassis redundancy graceful-switchover,36,set chassis redundancy graceful-switchover,None
126,set forwarding-options analyzer ANALYZER input egress interface xe-0/0/0.0,193,set forwarding-options analyzer ANALYZER input egress interface xe-0/0/0.0,None
125,set forwarding-options analyzer ANALYZER input ingress interface xe-0/0/0.0,192,set forwarding-options analyzer ANALYZER input ingress interface xe-0/0/0.0,None
127,set forwarding-options analyzer ANALYZER output interface ge-0/0/39.0,194,set forwarding-options analyzer ANALYZER output interface ge-0/0/39.0,None
124,set forwarding-options storm-control-profiles default all,191,set forwarding-options storm-control-profiles default all,None
97,set interfaces ae1 aggregated-ether-options lacp active,161,set interfaces ae1 aggregated-ether-options lacp active,None
96,set interfaces ae1 aggregated-ether-options link-speed 1g,160,set interfaces ae1 aggregated-ether-options link-speed 1g,None
99,set interfaces ae1 unit 0 family ethernet-switching interface-mode access,163,set interfaces ae1 unit 0 family ethernet-switching interface-mode access,None
100,set interfaces ae1 unit 0 family ethernet-switching vlan members vlan206,164,set interfaces ae1 unit 0 family ethernet-switching vlan members vlan206,None
103,set interfaces ae2 aggregated-ether-options lacp active,167,set interfaces ae2 aggregated-ether-options lacp active,None
102,set interfaces ae2 aggregated-ether-options link-speed 10g,,,Removed
,,166,set interfaces ae2 aggregated-ether-options link-speed 40g,Added
104,set interfaces ae2 unit 0 family ethernet-switching interface-mode trunk,168,set interfaces ae2 unit 0 family ethernet-switching interface-mode trunk,None
105,set interfaces ae2 unit 0 family ethernet-switching vlan members all,169,set interfaces ae2 unit 0 family ethernet-switching vlan members all,None
107,set interfaces ae3 aggregated-ether-options link-speed 1g,171,set interfaces ae3 aggregated-ether-options link-speed 1g,None
108,set interfaces ae3 unit 0 family ethernet-switching interface-mode trunk,172,set interfaces ae3 unit 0 family ethernet-switching interface-mode trunk,None
109,set interfaces ae3 unit 0 family ethernet-switching vlan members [ VLAN400 VLAN300 ],,,Removed
,,174,set interfaces ae3 unit 0 family ethernet-switching vlan members VLAN300,Added
,,173,set interfaces ae3 unit 0 family ethernet-switching vlan members VLAN400,Added
,,176,set interfaces em0 unit 0 family inet address 10.10.102.67/21,Added
110,set interfaces em1 unit 0 family inet,177,set interfaces em1 unit 0 family inet,None
41,set interfaces ge-0/0/1 disable,,,Removed
,,144,set interfaces et-0/0/48 ether-options 802.3ad ae2,Added
,,147,set interfaces et-0/0/49 ether-options 802.3ad ae2,Added
,,150,set interfaces et-0/0/50 ether-options 802.3ad ae2,Added
,,153,set interfaces et-0/0/51 unit 0 family ethernet-switching,Added
,,154,set interfaces et-0/0/52 unit 0 family ethernet-switching,Added
,,155,set interfaces et-0/0/53 unit 0 family ethernet-switching,Added
,,156,set interfaces et-0/0/54 unit 0 family ethernet-switching,Added
,,159,set interfaces et-0/0/55 unit 0 family ethernet-switching,Added
,,68,set interfaces ge-0/0/10 unit 0 family ethernet-switching interface-mode access,Added
,,69,set interfaces ge-0/0/10 unit 0 family ethernet-switching vlan members vlan206,Added
,,71,set interfaces ge-0/0/11 unit 0 family ethernet-switching interface-mode access,Added
,,72,set interfaces ge-0/0/11 unit 0 family ethernet-switching vlan members vlan206,Added
62,set interfaces ge-0/0/12 unit 0 family ethernet-switching interface-mode access,74,set interfaces ge-0/0/12 unit 0 family ethernet-switching interface-mode access,None
63,set interfaces ge-0/0/12 unit 0 family ethernet-switching vlan members VLAN300,75,set interfaces ge-0/0/12 unit 0 family ethernet-switching vlan members VLAN300,None
65,set interfaces ge-0/0/13 unit 0 family ethernet-switching interface-mode access,77,set interfaces ge-0/0/13 unit 0 family ethernet-switching interface-mode access,None
66,set interfaces ge-0/0/13 unit 0 family ethernet-switching vlan members VLAN400,78,set interfaces ge-0/0/13 unit 0 family ethernet-switching vlan members VLAN400,None
,,79,set interfaces ge-0/0/14 unit 0 family ethernet-switching,Added
,,80,set interfaces ge-0/0/15 unit 0 family ethernet-switching,Added
,,81,set interfaces ge-0/0/16 unit 0 family ethernet-switching,Added
,,82,set interfaces ge-0/0/17 unit 0 family ethernet-switching,Added
68,set interfaces ge-0/0/18 unit 0 family ethernet-switching interface-mode access,84,set interfaces ge-0/0/18 unit 0 family ethernet-switching interface-mode access,None
69,set interfaces ge-0/0/18 unit 0 family ethernet-switching vlan members 100,85,set interfaces ge-0/0/18 unit 0 family ethernet-switching vlan members 100,None
46,set interfaces ge-0/0/2 unit 0 family ethernet-switching interface-mode access,,,Removed
47,set interfaces ge-0/0/2 unit 0 family ethernet-switching vlan members vlan206,,,Removed
,,86,set interfaces ge-0/0/19 unit 0 family ethernet-switching,Added
71,set interfaces ge-0/0/20 unit 0 family ethernet-switching interface-mode access,88,set interfaces ge-0/0/20 unit 0 family ethernet-switching interface-mode access,None
72,set interfaces ge-0/0/20 unit 0 family ethernet-switching vlan members 100,89,set interfaces ge-0/0/20 unit 0 family ethernet-switching vlan members 100,None
,,90,set interfaces ge-0/0/21 unit 0 family ethernet-switching,Added
,,91,set interfaces ge-0/0/22 unit 0 family ethernet-switching,Added
,,92,set interfaces ge-0/0/23 unit 0 family ethernet-switching,Added
74,set interfaces ge-0/0/24 ether-options 802.3ad ae3,94,set interfaces ge-0/0/24 ether-options 802.3ad ae3,None
73,set interfaces ge-0/0/24 ether-options 802.3ad lacp force-up,93,set interfaces ge-0/0/24 ether-options 802.3ad lacp force-up,None
76,set interfaces ge-0/0/25 ether-options 802.3ad ae3,96,set interfaces ge-0/0/25 ether-options 802.3ad ae3,None
